-180,90,0
-180,90,0
117.3,0.6,-78.6
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
112.5,0.6,-82.5
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
112.5,0.6,-82.5
113.2,0.5,-81.7
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
112.5,0.6,-82.5
113.2,0.5,-81.7
114.5,0.5,-81.7
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
112.5,0.6,-82.5
113.2,0.5,-81.7
114.5,0.5,-81.7
115.6,0.5,-80.7
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
112.5,0.6,-82.5
113.2,0.5,-81.7
114.5,0.5,-81.7
115.6,0.5,-80.7
115.1,0.5,-80.7
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
112.5,0.6,-82.5
113.2,0.5,-81.7
114.5,0.5,-81.7
115.6,0.5,-80.7
115.1,0.5,-80.7
111.5,0.5,-84.3
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
112.5,0.6,-82.5
113.2,0.5,-81.7
114.5,0.5,-81.7
115.6,0.5,-80.7
115.1,0.5,-80.7
111.5,0.5,-84.3
112,0.5,-84.3
-180,90,0
117.3,0.6,-78.6
120.3,0.6,-75.6
120.9,0.6,-75.6
119.7,0.6,-76.8
119.4,0.6,-76.8
113.7,0.6,-82.5
112.5,0.6,-82.5
113.2,0.5,-81.7
114.5,0.5,-81.7
115.6,0.5,-80.7
115.1,0.5,-80.7
111.5,0.5,-84.3
112,0.5,-84.3
108.2,0.5,-88.1
-180,90,0
