-0.1,3.2,3.2,-180,90,0
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.3,7.8,7.8,-76.2,2,-104.8
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.3,7.8,7.8,-76.2,2,-104.8
-0.3,8.4,8.4,-81.9,2.1,-109.8
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.3,7.8,7.8,-76.2,2,-104.8
-0.3,8.4,8.4,-81.9,2.1,-109.8
-0.3,8.4,8.4,-93,2.1,-109.8
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.3,7.8,7.8,-76.2,2,-104.8
-0.3,8.4,8.4,-81.9,2.1,-109.8
-0.3,8.4,8.4,-93,2.1,-109.8
-0.3,8.8,8.8,-120.3,2.7,-132.3
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.3,7.8,7.8,-76.2,2,-104.8
-0.3,8.4,8.4,-81.9,2.1,-109.8
-0.3,8.4,8.4,-93,2.1,-109.8
-0.3,8.8,8.8,-120.3,2.7,-132.3
-0.3,8.8,8.8,-114.9,2.7,-132.3
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.3,7.8,7.8,-76.2,2,-104.8
-0.3,8.4,8.4,-81.9,2.1,-109.8
-0.3,8.4,8.4,-93,2.1,-109.8
-0.3,8.8,8.8,-120.3,2.7,-132.3
-0.3,8.8,8.8,-114.9,2.7,-132.3
-0.3,9.1,9.1,-106.2,2.4,-125.2
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.3,7.8,7.8,-76.2,2,-104.8
-0.3,8.4,8.4,-81.9,2.1,-109.8
-0.3,8.4,8.4,-93,2.1,-109.8
-0.3,8.8,8.8,-120.3,2.7,-132.3
-0.3,8.8,8.8,-114.9,2.7,-132.3
-0.3,9.1,9.1,-106.2,2.4,-125.2
-0.3,9.1,9.1,-99.7,2.4,-125.2
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
-0.3,7.8,7.8,-77.4,2,-104.8
-0.3,7.8,7.8,-76.2,2,-104.8
-0.3,8.4,8.4,-81.9,2.1,-109.8
-0.3,8.4,8.4,-93,2.1,-109.8
-0.3,8.8,8.8,-120.3,2.7,-132.3
-0.3,8.8,8.8,-114.9,2.7,-132.3
-0.3,9.1,9.1,-106.2,2.4,-125.2
-0.3,9.1,9.1,-99.7,2.4,-125.2
-0.3,9.3,9.3,-119.3,3,-140.9
-0.1,3.2,3.2,-180,90,0
-0.2,5.3,5.3,-180,90,0
-0.2,5.3,5.3,2.7,3.7,-27.3
-0.2,6.8,6.8,-60.5,1.9,-78.4
-0.2,6.8,6.8,-47.3,1.9,-78.4
